series,"10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025"
United States,27484,25920,44934,27050,21115,22757,23585,25587,28534,27350,27822,26420,27704,26561,44192,27634,21842,21889,22863,24515,24219,25655,25613,24506,25793,24640,43522,24197,19231,19478,19765,21545,21641,23082,23149,21822,22627,21881,42027,20848,17037,18095,18895,20781,20615,21669,22389,21434,21536,20008,39536,21469,18383,17884,15142,16542,17844,18335,19156,18179,19774,19090,34186,11466,9247,9306,9209,10932,10403,12172,12272,12735,13853,13042,13815,18582,16606,17253,17300,18838,18917,20015,19075,18456,18799,17123,21198,17710,15210,16554,16925,18819,18575,20049,19553,19019,19509,18057,20385,17403,15374,15819,16017,17293,17392,18186,17651,17083,16964,15993,16740,13021,10984,11746,12073,13247,12174,12106,9271,6096,646
United States Clearances,7251,6888,13186,7452,6775,7113,6767,7148,8071,7002,7421,7319,7343,6639,12542,7382,6495,6777,6596,6992,6998,6664,7116,6593,6772,6415,13252,7096,5923,6052,5984,6345,5989,6333,6574,6028,6293,5782,12059,6225,5296,5552,5579,5995,5726,5800,6175,5963,6055,5425,11588,6349,5631,5733,5008,5097,4440,5133,5202,4988,5100,4454,10838,2738,2618,2812,2615,2759,2760,2926,3021,3154,3080,3060,3040,4256,3947,4626,4435,4560,4524,4667,4797,4465,4405,3981,4008,5095,4534,5047,4775,5285,5245,5270,5591,5329,5434,5051,5091,5324,5066,5259,5243,5335,5038,5463,5462,4961,5338,4737,4523,4498,4046,4351,4264,4547,4167,4241,2985,1925,190
