series,"01-2013","02-2013","03-2013","04-2013","05-2013","06-2013","07-2013","08-2013","09-2013","10-2013","11-2013","12-2013","01-2014","02-2014","03-2014","04-2014","05-2014","06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025"
United States,1087,863,1039,1029,1115,1392,1276,1176,1090,1076,1072,1899,990,856,970,1044,1162,1310,1173,1156,1104,1140,1080,1981,1139,880,1102,1077,1297,1432,1368,1353,1332,1253,1234,2176,1204,1018,1198,1269,1368,1611,1501,1495,1385,1445,1408,2221,1402,1128,1194,1258,1350,1401,1503,1395,1327,1413,1753,2342,1302,1072,1163,1236,1295,1363,1395,1323,1277,1214,1207,3006,1207,1079,1157,1157,1354,1341,1343,1323,1275,1233,1193,3032,1358,1130,1342,1393,1628,1843,1972,1884,1765,1915,1756,3601,1355,1152,1191,1305,1536,1479,1677,1524,1566,1624,1456,2044,1667,1478,1662,1720,1947,1863,2097,1905,1682,1787,1541,2519,1658,1367,1556,1574,1687,1702,1844,1637,1570,1588,1428,2102,1354,1255,1329,1334,1511,1493,1545,1416,1327,1383,1219,1825,1077,973,1003,1033,1054,1057,1014,757,510,35
United States Clearances,671,593,647,632,692,840,716,738,663,647,606,1176,660,583,634,655,686,715,733,674,642,718,605,1223,717,621,692,670,696,800,765,715,727,754,688,1311,698,653,662,772,813,866,706,792,711,748,743,1343,782,724,772,687,808,810,825,794,750,781,760,1394,806,664,750,740,745,742,743,737,678,708,671,1501,695,656,679,705,763,727,714,754,642,714,653,1507,827,675,741,856,880,859,966,925,870,957,838,1760,669,658,741,725,751,749,813,756,778,798,746,729,846,839,1007,879,992,970,1012,1064,884,861,841,1152,1005,864,994,882,952,950,1003,936,916,913,866,974,813,820,885,861,869,912,866,875,779,865,774,799,747,689,680,691,645,624,646,469,347,28
